id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,volume_marketcap_ratio,high_low_range_pct,has_max_supply,circulating_supply_ratio,dist_ath_pct,label
shiba-inu,shib,Shiba Inu,4.63e-06,2730533338,35,2731722651,57274460.0,4.79e-06,4.63e-06,-1.25576493225e-07,-2.63841,-70309837.47607946,-2.51031,589243206269046.6,589499857473013.9,,8.616e-05,-94.6216,5.6366e-11,8221048.18394,0.020975557852720126,3.455723542116634,0,0.0,-94.6216,lateral
near,near,NEAR Protocol,2.09,2717539630,36,2717539616,488594103.0,2.26,2.05,-0.047902734873281,-2.23647,-48614399.84899092,-1.75747,1297765505.0,1297765498.0,,20.44,-89.74421,0.526762,297.91968,0.17979281612169165,10.24390243902439,0,0.0,-89.74421,lateral
crypto-com-chain,cro,Cronos,0.060008,2690608058,37,5923385202,9643748.0,0.062429,0.060014,-0.001912503777155,-3.08865,-85651601.97317266,-3.08514,44832706009.42165,98699394948.6157,100000000000.0,0.891544,-93.25016,0.0121196,396.53282,0.0035842262388705,4.024061052421103,1,0.4483270600942165,-93.25016,baixa
tether-gold,xaut,Tether Gold,4275.01,2619824671,38,3025622879,174993370.0,4324.56,4281.16,-24.32687280877235,-0.56583,-15962417.605086803,-0.6056,612823.659532,707747.089,,5504.62,-22.10884,1447.84,196.13807,0.06679583253684078,1.013743938558721,0,0.0,-22.10884,lateral
global-dollar,usdg,Global Dollar,0.999946,2600004330,39,2600004330,72780162.0,1.0,0.999665,-8.00675163658e-05,-0.00801,52488262.0,2.06037,2600300826.088955,2600300826.088955,,1.65,-39.56859,0.907561,10.16858,0.02799232338201529,0.03351122626079479,0,0.0,-39.56859,alta
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2472906320,40,2472906320,0.0,1.0,1.0,0.0,0.0,65680129.0,2.72846,2472906319.600449,2472906319.600449,,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,alta
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.13,2146346608,41,2146346608,1114193.0,1.14,1.11,0.00057716,0.05089,35189154.0,1.66682,1891693376.032039,1891693376.032039,,1.26,-10.17054,0.934184,21.45227,0.0005191114034644305,2.702702702702685,0,0.0,-10.17054,alta
bittensor,tao,Bittensor,210.57,2023388543,42,4427319535,139696989.0,219.2,210.23,-4.180168374590551,-1.94651,-34088980.364485025,-1.65683,9597491.0,21000000.0,21000000.0,757.6,-72.17905,30.83,583.66229,0.06904110902638436,4.266755458307568,1,0.45702338095238093,-72.17905,lateral
pax-gold,paxg,PAX Gold,4288.36,1960738229,43,1960738229,117290974.0,4337.18,4291.99,-25.99103447502148,-0.60243,-27619678.45281053,-1.38907,456894.511,456894.511,,5619.09,-23.51584,1399.64,207.05822,0.059819802697384954,1.0528915491415523,0,0.0,-23.51584,lateral
worldcoin-wld,wld,Worldcoin,0.521296,1772828355,44,5231293035,701790495.0,0.568503,0.471849,0.0494474,10.4795,181860490.0,11.43081,3388891317.877847,10000000000.0,10000000000.0,11.74,-95.5565,0.230306,126.5221,0.39585924549362256,20.48409554751625,1,0.33888913178778474,-95.5565,alta
mantle,mnt,Mantle,0.529757,1751652317,45,3298942920,59081692.0,0.553348,0.529822,-0.018102004627849,-3.30414,-56801535.99015617,-3.14089,3302294382.53684,6219316794.889999,6219316794.89,2.86,-81.41987,0.307978,72.24415,0.03372912045764159,4.440359214981624,1,0.5309738177753087,-81.41987,baixa
world-liberty-financial,wlfi,World Liberty Financial,0.054969,1746085924,46,5495388125,28760152.0,0.058403,0.054515,-0.0011318716477784,-2.01755,-36452605.45766425,-2.04498,31773659741.0,100000000000.0,100000000000.0,0.331336,-83.4098,0.051632,6.46287,0.0164712123296402,7.131982023296332,1,0.31773659741,-83.4098,lateral
ondo-finance,ondo,Ondo,0.357621,1743128114,47,3579810533,143312760.0,0.377551,0.352561,-0.0077617292476379,-2.12428,-26886242.665254597,-1.51898,4869330647.0,10000000000.0,10000000000.0,2.14,-83.28997,0.082171,335.21532,0.08221585025734947,7.088135102861635,1,0.4869330647,-83.28997,lateral
ripple-usd,rlusd,Ripple USD,0.999941,1670726745,48,1670726745,122266340.0,1.0,0.999685,0.00011212,0.01121,-9317026.675156357,-0.55457,1670825515.43621,1670825515.436209,,1.073,-6.79502,0.962292,3.91024,0.0731815303525293,0.03150992562656779,0,0.0,-6.79502,alta
